LandisData	PnETSpeciesParameters													
PnETSpeciesParameters	FolN	TOfol	AmaxA	AmaxB	k	DVPD1	DVPD2	DNSC	FracBelowG	SLWmax	PsnTMin	HalfSat	PsnTOpt
abiebals	2.39	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
acerrubr	2.39	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
acersacc	2.39	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
betualle	2.39	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
betupapy	2.39	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
fraxamer	2.3	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
piceglau	2.6	0.35	-46	71.9	0.5	0.05	2	0.03	0.25	180	4	437	24
pinubank	2.6	0.35	-46	71.9	0.5	0.05	2	0.03	0.25	180	4	437	24
pinuresi	2.6	0.35	-46	71.9	0.5	0.05	2	0.03	0.25	180	4	437	24
pinustro	2.6	0.35	-46	71.9	0.5	0.05	2	0.03	0.25	180	4	437	24
poputrem	2.87	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
querelli	2.87	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
querrubr	2.87	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
thujocci	3.92	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
tiliamer	3.92	1	5.3	21.5	0.58	0.05	2	0.03	0.2	60	4	437	24
tsugcana	2.6	0.35	-46	71.9	0.5	0.05	2	0.03	0.25	180	4	437	24
