Year,Month,Day,Variable,eco1,eco2
2015,10,7,PAR,249.2957771,498.5915542
2015,10,8,PAR,240.0992323,480.1984646
2015,10,9,PAR,253.4400353,506.8800706
2015,10,10,PAR,333.3900344,666.7800688
2015,10,11,PAR,370.7392177,741.4784354
2015,10,12,PAR,306.2489178,612.4978356
2015,10,13,PAR,364.7049817,729.4099634
2015,10,14,PAR,309.9845455,619.969091
2015,10,15,PAR,264.5630065,529.126013
2015,10,16,PAR,129.7555185,259.511037
2015,10,17,PAR,215.5989749,431.1979498
2015,10,18,PAR,98.74385476,197.4877095
2015,10,19,PAR,259.5872713,519.1745426
2015,10,20,PAR,281.3684392,562.7368784
2015,10,21,PAR,179.2633882,358.5267764
2015,10,22,PAR,246.043167,492.086334
2015,10,23,PAR,129.4318478,258.8636956
2015,10,24,PAR,138.1230256,276.2460512
2015,10,25,PAR,196.9679071,393.9358142
2015,10,26,PAR,245.2713581,490.5427162
2015,10,27,PAR,249.2364714,498.4729428
2015,10,28,PAR,124.9481632,249.8963264
2015,10,29,PAR,117.4039906,234.8079812
2015,10,30,PAR,208.7970911,417.5941822
2015,10,31,PAR,123.1331992,246.2663984
2015,11,1,PAR,195.1843314,390.3686628
2015,11,2,PAR,214.5703758,429.1407516
2015,11,3,PAR,189.4132267,378.8264534
2015,11,4,PAR,263.6499963,527.2999926
2015,11,5,PAR,182.327975,364.65595
2015,11,6,PAR,172.8993898,345.7987796
2015,11,7,PAR,178.6903306,357.3806612
2015,11,8,PAR,182.2907282,364.5814564
2015,11,9,PAR,252.6314428,505.2628856
2015,11,10,PAR,249.1149344,498.2298688
2015,11,11,PAR,225.7651988,451.5303976
2015,11,12,PAR,161.330764,322.661528
2015,11,13,PAR,149.6428339,299.2856678
2015,11,14,PAR,162.2755535,324.551107
2015,11,15,PAR,134.662802,269.325604
2015,11,16,PAR,166.3870483,332.7740966
2015,11,17,PAR,158.6046822,317.2093644
2015,11,18,PAR,100.6630807,201.3261614
2015,11,19,PAR,101.1147511,202.2295022
2015,11,20,PAR,99.84123941,199.6824788
2015,11,21,PAR,111.9254416,223.8508832
2015,11,22,PAR,143.3144121,286.6288242
2015,11,23,PAR,107.1810272,214.3620544
2015,11,24,PAR,94.85609428,189.7121886
2015,11,25,PAR,89.26723601,178.534472
2015,11,26,PAR,125.1650427,250.3300854
2015,11,27,PAR,47.76128652,95.52257304
2015,11,28,PAR,61.38574678,122.7714936
2015,11,29,PAR,86.52660478,173.0532096
2015,11,30,PAR,89.16166595,178.3233319
2015,12,1,PAR,85.8255033,171.6510066
2015,12,2,PAR,84.34312308,168.6862462
2015,12,3,PAR,64.07484488,128.1496898
2015,12,4,PAR,81.98431436,163.9686287
2015,12,5,PAR,90.06698923,180.1339785
2015,12,6,PAR,91.97293188,183.9458638
2015,12,7,PAR,92.3863223,184.7726446
2015,12,8,PAR,89.93612883,179.8722577
2015,12,9,PAR,86.86989615,173.7397923
2015,12,10,PAR,85.67591867,171.3518373
2015,12,11,PAR,60.30597477,120.6119495
2015,12,12,PAR,65.3039246,130.6078492
2015,12,13,PAR,74.99578524,149.9915705
2015,12,14,PAR,76.2602472,152.5204944
2015,12,15,PAR,76.27250685,152.5450137
2015,12,16,PAR,72.97730197,145.9546039
2015,12,17,PAR,59.63686989,119.2737398
2015,12,18,PAR,59.80840168,119.6168034
2015,12,19,PAR,72.15860525,144.3172105
2015,12,20,PAR,69.03367573,138.0673515
2015,12,21,PAR,71.48249266,142.9649853
2015,12,22,PAR,69.78709433,139.5741887
2015,12,23,PAR,67.76051401,135.521028
2015,12,24,PAR,70.27758262,140.5551652
2015,12,25,PAR,66.16987878,132.3397576
2015,12,26,PAR,61.21740831,122.4348166
2015,12,27,PAR,75.04692838,150.0938568
2015,12,28,PAR,73.21418032,146.4283606
2015,12,29,PAR,63.97448765,127.9489753
2015,12,30,PAR,72.92020135,145.8404027
2015,12,31,PAR,61.32118739,122.6423748
2016,1,1,PAR,72.26434118,144.5286824
2016,1,2,PAR,76.43809118,152.8761824
2016,1,3,PAR,68.15680107,136.3136021
2016,1,4,PAR,64.15187684,128.3037537
2016,1,5,PAR,52.86005054,105.7201011
2016,1,6,PAR,56.32790351,112.655807
2016,1,7,PAR,62.01416476,124.0283295
2016,1,8,PAR,69.38252883,138.7650577
2016,1,9,PAR,74.32530929,148.6506186
2016,1,10,PAR,77.11383703,154.2276741
2016,1,11,PAR,81.4343085,162.868617
2016,1,12,PAR,68.45831287,136.9166257
2016,1,13,PAR,64.84125311,129.6825062
2016,1,14,PAR,91.12818198,182.256364
2016,1,15,PAR,74.09671046,148.1934209
2016,1,16,PAR,83.44415028,166.8883006
2016,1,17,PAR,87.71449619,175.4289924
2016,1,18,PAR,123.2816574,246.5633148
2016,1,19,PAR,128.7870245,257.574049
2016,1,20,PAR,131.2837061,262.5674122
2016,1,21,PAR,143.1150971,286.2301942
2016,1,22,PAR,145.6853184,291.3706368
2016,1,23,PAR,121.0783392,242.1566784
2016,1,24,PAR,148.4165175,296.833035
2016,1,25,PAR,162.1090071,324.2180142
2016,1,26,PAR,146.6364075,293.272815
2016,1,27,PAR,132.8153524,265.6307048
2016,1,28,PAR,145.3662001,290.7324002
2016,1,29,PAR,189.2461914,378.4923828
2016,1,30,PAR,180.9175111,361.8350222
2016,1,31,PAR,146.4799527,292.9599054
2016,2,1,PAR,102.5669833,205.1339666
2016,2,2,PAR,109.7354612,219.4709224
2016,2,3,PAR,139.4204767,278.8409534
2016,2,4,PAR,117.5331125,235.066225
2016,2,5,PAR,144.1696286,288.3392572
2016,2,6,PAR,132.8455309,265.6910618
2016,2,7,PAR,166.0585388,332.1170776
2016,2,8,PAR,195.0923854,390.1847708
2016,2,9,PAR,145.3976206,290.7952412
2016,2,10,PAR,189.8574978,379.7149956
2016,2,11,PAR,204.5320279,409.0640558
2016,2,12,PAR,171.6357764,343.2715528
2016,2,13,PAR,213.0301934,426.0603868
2016,2,14,PAR,245.7559795,491.511959
2016,2,15,PAR,221.5492961,443.0985922
2016,2,16,PAR,191.5557431,383.1114862
2016,2,17,PAR,209.8934795,419.786959
2016,2,18,PAR,204.14024,408.28048
2016,2,19,PAR,220.3713285,440.742657
2016,2,20,PAR,213.5960999,427.1921998
2016,2,21,PAR,281.9115762,563.8231524
2016,2,22,PAR,295.0000782,590.0001564
2016,2,23,PAR,303.6465984,607.2931968
2016,2,24,PAR,367.1860459,734.3720918
2016,2,25,PAR,322.1885042,644.3770084
2016,2,26,PAR,378.5478697,757.0957394
2016,2,27,PAR,298.024356,596.048712
2016,2,28,PAR,318.6602538,637.3205076
2016,3,1,PAR,311.8045762,623.6091524
2016,3,2,PAR,350.4277575,700.855515
2016,3,3,PAR,236.984716,473.969432
2016,3,4,PAR,326.0270173,652.0540346
2016,3,5,PAR,353.0493151,706.0986302
2016,3,6,PAR,418.2221241,836.4442482
2016,3,7,PAR,427.7170882,855.4341764
2016,3,8,PAR,331.4500776,662.9001552
2016,3,9,PAR,357.1469209,714.2938418
2016,3,10,PAR,397.4359758,794.8719516
2016,3,11,PAR,494.2915535,988.583107
2016,3,12,PAR,343.0122793,686.0245586
2016,3,13,PAR,281.8619522,563.7239044
2016,3,14,PAR,444.1912298,888.3824596
2016,3,15,PAR,441.1765263,882.3530526
2016,3,16,PAR,366.3896865,732.779373
2016,3,17,PAR,380.5468569,761.0937138
2016,3,18,PAR,407.3705355,814.741071
2016,3,19,PAR,428.7367197,857.4734394
2016,3,20,PAR,427.300054,854.600108
2016,3,21,PAR,352.0010787,704.0021574
2016,3,22,PAR,395.4239021,790.8478042
2016,3,23,PAR,377.3166313,754.6332626
2016,3,24,PAR,349.0037847,698.0075694
