FracBelowG	FraCtWd	FracFol	Slope	Int
0.29	0.000063	0.03	0.8021	1528.6
0.37	0.000063	0.03	0.772	1429.3
0.29	0.000038	0.03	0.8956	2025.7
0.37	0.000038	0.03	0.8544	1892.6
0.33	0.000072	0.03	0.7701	1365.6
0.37	0.000044	0.075	1.0182	1766.3
0.29	0.000063	0.075	0.5876	1485.4
0.37	0.000038	0.075	0.5751	1981.8
0.33	0.000044	0.08	1.0932	1890.5
0.37	0.000042	0.08	0.9183	1681.6
0.37	0.000042	0.07	1.0065	1784.9
0.33	0.000075	0.11	1.3303	1458.9
0.37	0.00004	0.02	1.0163	2070.6
0.35	0.000082	0.08	0.8425	1197.3
