Year	Month	TMax	TMin	PAR	Prec	CO2
1600-2300	1	-14.11634435	-28.87379887	350.9959848	12.1380571	311.612
1600-2300	2	-4.468876034	-18.57932554	422.8764366	27.26580195	311.612
1600-2300	3	0.098470645	-16.63919952	681.9568658	13.93328815	311.612
1600-2300	4	10.69495	-4.846755	829.6802172	50.08119365	311.612
1600-2300	5	14.93784952	2.249252581	814.6535079	93.6296045	311.612
1600-2300	6	19.97255833	6.047388333	722.9276678	160.5613695	311.612
1600-2300	7	21.68366677	6.90906371	872.8925973	89.871411	311.612
1600-2300	8	23.31500468	10.45173807	722.1271241	80.455236	311.612
1600-2300	9	17.92371667	6.473235	538.6992001	101.896396	311.612
1600-2300	10	5.763071451	-3.160972097	398.4617126	92.88371505	311.612
1600-2300	11	-0.451298333	-8.682561667	286.6469988	51.51815035	311.612
1600-2300	12	-7.670758118	-22.19923548	256.5194056	18.32677585	311.612
