PnETSpeciesParameters																						
																						
SpeciesName	FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat	H3	H4	PsnAgeRed	PsnTMin	PsnTOpt	k	WUEcnst	MaintResp	DNSC	FracBelowG	EstMoist	EstRad	FracFol	FrActWd	
abiebal	1.5	160	0	0.25	5.3	21.5	356	140	275	5	2	19	0.5	6	0.0025	0.05	0.25	10	3	0.145	0.00004	<<abiebal
acerrub	2.5	60	0.2	1	-46	71.9	437	145	500	5	4	26	0.58	7	0.0025	0.05	0.33	5	5	0.044	0.00007	<<acerrub
acersac	2.4	50	0.2	1	-46	71.9	275	140	275	5	2	23	0.58	6	0.0025	0.05	0.33	10	1	0.031	0.00004	<<acersac
betuall	2.8	43	0.2	1	-46	71.9	356	140	275	5	3	21	0.58	6	0.0025	0.05	0.33	10	3	0.027	0.00005	<<betuall
betupap	2.0	88	0.2	1	-46	71.9	519	135	150	5	3	21	0.58	5	0.0025	0.05	0.25	7	8	0.052	0.00006	<<betupap
fraxame	3.0	55	0.2	1	-46	71.9	437	145	500	5	3	25	0.58	5	0.0025	0.05	0.33	10	3	0.034	0.00006	<<fraxame
fraxnig	3.0	52	0.2	1	-46	71.9	519	135	150	5	3	23	0.58	8	0.0025	0.05	0.33	10	8	0.033	0.00007	<<fraxnig
larilar	1.7	150	0	1	5.3	21.5	600	145	500	5	1	20	0.5	16	0.0025	0.05	0.33	5	10	0.135	0.00008	<<larilar
picegla	1.2	185	0	0.25	5.3	21.5	437	145	500	5	2	20	0.5	9	0.0025	0.05	0.33	10	5	0.23	0.00007	<<picegla
picemar	1.0	205	0	0.25	5.3	21.5	437	145	500	5	2	20	0.5	3	0.0025	0.05	0.33	10	5	0.25	0.00007	<<picemar
pinuban	1.4	190	0	0.3333	5.3	21.5	600	150	800	5	2	20	0.5	11	0.0025	0.05	0.33	1	10	0.227	0.00008	<<pinuban
pinures	1.4	175	0	0.3333	5.3	21.5	519	150	800	5	3	21	0.5	14	0.0025	0.05	0.33	10	3	0.225	0.00007	<<pinures
pinustr	1.6	145	0	0.5	5.3	21.5	437	150	800	5	3	21	0.5	9	0.0025	0.05	0.33	5	5	0.17	0.00006	<<pinustr
popugra	2.8	70	0.2	1	-46	71.9	600	135	150	5	2	22	0.58	5	0.0025	0.05	0.25	5	10	0.038	0.00004	<<popugra
poputre	2.8	75	0.2	1	-46	71.9	600	135	150	5	2	22	0.58	5	0.0025	0.05	0.25	5	10	0.036	0.00004	<<poputre
prunser	2.6	77	0.2	1	-46	71.9	519	145	500	5	3	25	0.58	5	0.0025	0.05	0.33	7	8	0.045	0.00006	<<prunser
queralb	3.1	70	0.2	1	-46	71.9	519	150	800	5	2	26	0.58	6	0.0025	0.05	0.33	1	10	0.035	0.00006	<<queralb
querell	3.0	50	0.2	1	-46	71.9	519	150	800	5	2	21	0.58	8	0.0025	0.05	0.33	5	8	0.031	0.00007	<<querell
querrub	2.8	65	0.2	1	-46	71.9	437	145	500	5	2	24	0.58	5	0.0025	0.05	0.33	5	5	0.036	0.00005	<<querrub
thujocc	1.1	180	0	0.5	5.3	21.5	437	140	275	5	3	20	0.58	3	0.0025	0.05	0.33	10	5	0.21	0.00007	<<thujocc
tiliame	3.3	30	0.2	1	-46	71.9	356	145	500	5	3	23	0.58	7	0.0025	0.05	0.33	5	3	0.026	0.00007	<<tiliame
tsugcan	1.6	120	0	0.3333	5.3	21.5	230	140	275	5	3	21	0.5	7	0.0025	0.05	0.33	10	1	0.129	0.00005	<<tsugcan
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
